"","subject","type","item","condition","question","correct_answer","response","rt","group","ambiguity","trimmed_rt"
"20","Native 1","gap",9,"a","!","{The_table}",1,3739,-0.5,0.5,3739
"36","Native 1","gap",1,"a","!","{The_car}",0,4587,-0.5,0.5,4587
"40","Native 1","gap",7,"a","!","{The_sky}",1,1791,-0.5,0.5,1791
"55","Native 1","gap",11,"a","!","{The_table}",1,1797,-0.5,0.5,1797
"58","Native 1","gap",12,"b","!","{The_bread}",1,1744,-0.5,-0.5,1744
"65","Native 1","gap",6,"b","!","{The_race}",1,2085,-0.5,-0.5,2085
"78","Native 1","gap",2,"b","!","{The_truck}",1,1632,-0.5,-0.5,1632
"85","Native 1","gap",8,"b","!","{The_church}",1,3415,-0.5,-0.5,3415
"103","Native 1","gap",10,"b","!","{The_car}",1,2519,-0.5,-0.5,2519
"108","Native 1","gap",3,"a","!","{The_ship}",0,2644,-0.5,0.5,2644
"155","Native 1","gap",4,"b","!","{The_door}",1,2134,-0.5,-0.5,2134
"168","Native 1","gap",5,"a","!","{The_car}",1,4305,-0.5,0.5,4305
"199","Native 2","gap",10,"a","!","{The_car}",1,2074,-0.5,0.5,2074
"220","Native 2","gap",1,"b","!","{The_car}",0,2714,-0.5,-0.5,2714
"227","Native 2","gap",3,"b","!","{The_island}",1,1319,-0.5,-0.5,1319
"234","Native 2","gap",6,"a","!","{The_race}",1,1820,-0.5,0.5,1820
"244","Native 2","gap",9,"b","!","{The_table}",1,1392,-0.5,-0.5,1392
"249","Native 2","gap",4,"a","!","{The_door}",1,1155,-0.5,0.5,1155
"253","Native 2","gap",12,"a","!","{The_bread}",1,2868,-0.5,0.5,2868
"257","Native 2","gap",5,"b","!","{The_car}",1,1342,-0.5,-0.5,1342
"272","Native 2","gap",11,"b","!","{The_table}",1,954,-0.5,-0.5,954
"321","Native 2","gap",8,"a","!","{The_church}",1,1400,-0.5,0.5,1400
"331","Native 2","gap",2,"a","!","{The_truck}",1,2852,-0.5,0.5,2852
"356","Native 2","gap",7,"b","!","{The_tower}",0,2391,-0.5,-0.5,2391
"375","Native 3","gap",11,"a","!","{The_table}",1,1636,-0.5,0.5,1636
"388","Native 3","gap",6,"b","!","{The_race}",1,2839,-0.5,-0.5,2839
"398","Native 3","gap",1,"a","!","{The_bicycle}",1,2090,-0.5,0.5,2090
"419","Native 3","gap",2,"b","!","{The_truck}",1,6286,-0.5,-0.5,6286
"433","Native 3","gap",3,"a","!","{The_island}",1,5202,-0.5,0.5,5202
"440","Native 3","gap",9,"a","!","{The_table}",1,3036,-0.5,0.5,3036
"452","Native 3","gap",8,"b","!","{The_church}",1,8095,-0.5,-0.5,8095
"463","Native 3","gap",5,"a","!","{The_car}",1,5365,-0.5,0.5,5365
"474","Native 3","gap",4,"b","!","{The_door}",1,2407,-0.5,-0.5,2407
"489","Native 3","gap",7,"a","!","{The_tower}",0,4768,-0.5,0.5,4768
"506","Native 3","gap",10,"b","!","{The_car}",1,3133,-0.5,-0.5,3133
"515","Native 3","gap",12,"b","!","{The_bread}",1,2051,-0.5,-0.5,2051
"588","Native 4","gap",12,"a","!","{The_cake}",0,1759,-0.5,0.5,1759
"592","Native 4","gap",2,"a","!","{The_truck}",1,1696,-0.5,0.5,1696
"617","Native 4","gap",1,"b","!","{The_car}",0,1413,-0.5,-0.5,1413
"621","Native 4","gap",5,"b","!","{The_car}",1,1435,-0.5,-0.5,1435
"625","Native 4","gap",3,"b","!","{The_ship}",0,2176,-0.5,-0.5,2176
"635","Native 4","gap",8,"a","!","{The_church}",1,2291,-0.5,0.5,2291
"642","Native 4","gap",6,"a","!","{The_race}",1,1343,-0.5,0.5,1343
"685","Native 4","gap",9,"b","!","{The_table}",1,2552,-0.5,-0.5,2552
"691","Native 4","gap",10,"a","!","{The_car}",1,1237,-0.5,0.5,1237
"698","Native 4","gap",11,"b","!","{The_room}",0,1632,-0.5,-0.5,1632
"711","Native 4","gap",7,"b","!","{The_tower}",0,1497,-0.5,-0.5,1497
"715","Native 4","gap",4,"a","!","{The_window}",0,1567,-0.5,0.5,1567
"735","Native 5","gap",1,"a","!","{The_bicycle}",1,3963,-0.5,0.5,3963
"761","Native 5","gap",6,"b","!","{The_race}",1,3783,-0.5,-0.5,3783
"768","Native 5","gap",4,"b","!","{The_door}",1,3219,-0.5,-0.5,3219
"775","Native 5","gap",7,"a","!","{The_sky}",1,1479,-0.5,0.5,1479
"784","Native 5","gap",8,"b","!","{The_church}",1,1518,-0.5,-0.5,1518
"787","Native 5","gap",9,"a","!","{The_table}",1,2462,-0.5,0.5,2462
"794","Native 5","gap",5,"a","!","{The_car}",1,1739,-0.5,0.5,1739
"801","Native 5","gap",11,"a","!","{The_table}",1,1617,-0.5,0.5,1617
"816","Native 5","gap",3,"a","!","{The_ship}",0,4022,-0.5,0.5,4022
"856","Native 5","gap",10,"b","!","{The_car}",1,1947,-0.5,-0.5,1947
"891","Native 5","gap",12,"b","!","{The_bread}",1,2466,-0.5,-0.5,2466
"894","Native 5","gap",2,"b","!","{The_wall}",0,4644,-0.5,-0.5,4644
"926","Native 6","gap",9,"b","!","{The_table}",1,3681,-0.5,-0.5,3681
"935","Native 6","gap",12,"a","!","{The_bread}",1,2341,-0.5,0.5,2341
"952","Native 6","gap",2,"a","!","{The_truck}",1,1665,-0.5,0.5,1665
"959","Native 6","gap",4,"a","!","{The_door}",1,1648,-0.5,0.5,1648
"977","Native 6","gap",1,"b","!","{The_bicycle}",1,1085,-0.5,-0.5,1085
"1005","Native 6","gap",7,"b","!","{The_sky}",1,1991,-0.5,-0.5,1991
"1009","Native 6","gap",10,"a","!","{The_car}",1,4177,-0.5,0.5,4177
"1026","Native 6","gap",6,"a","!","{The_race}",1,2515,-0.5,0.5,2515
"1036","Native 6","gap",3,"b","!","{The_island}",1,2190,-0.5,-0.5,2190
"1043","Native 6","gap",5,"b","!","{The_car}",1,3850,-0.5,-0.5,3850
"1046","Native 6","gap",8,"a","!","{The_church}",1,1739,-0.5,0.5,1739
"1060","Native 6","gap",11,"b","!","{The_table}",1,1881,-0.5,-0.5,1881
"1103","Native 7","gap",5,"a","!","{The_taxi}",0,2848,-0.5,0.5,2848
"1109","Native 7","gap",11,"a","!","{The_table}",1,1692,-0.5,0.5,1692
"1126","Native 7","gap",3,"a","!","{The_island}",1,2106,-0.5,0.5,2106
"1141","Native 7","gap",7,"a","!","{The_sky}",1,3028,-0.5,0.5,3028
"1176","Native 7","gap",6,"b","!","{The_race}",1,2628,-0.5,-0.5,2628
"1183","Native 7","gap",9,"a","!","{The_table}",1,8175,-0.5,0.5,NA
"1190","Native 7","gap",10,"b","!","{The_car}",1,1862,-0.5,-0.5,1862
"1201","Native 7","gap",1,"a","!","{The_car}",0,3009,-0.5,0.5,3009
"1217","Native 7","gap",8,"b","!","{The_church}",1,3165,-0.5,-0.5,3165
"1242","Native 7","gap",4,"b","!","{The_door}",1,3450,-0.5,-0.5,3450
"1252","Native 7","gap",12,"b","!","{The_bread}",1,2273,-0.5,-0.5,2273
"1259","Native 7","gap",2,"b","!","{The_truck}",1,2161,-0.5,-0.5,2161
"1276","Native 8","gap",5,"b","!","{The_car}",1,4365,-0.5,-0.5,4365
"1283","Native 8","gap",8,"a","!","{The_church}",1,2248,-0.5,0.5,2248
"1297","Native 8","gap",9,"b","!","{The_chair}",0,2172,-0.5,-0.5,2172
"1304","Native 8","gap",7,"b","!","{The_sky}",1,2117,-0.5,-0.5,2117
"1312","Native 8","gap",12,"a","!","{The_bread}",1,1704,-0.5,0.5,1704
"1323","Native 8","gap",11,"b","!","{The_room}",0,1729,-0.5,-0.5,1729
"1336","Native 8","gap",4,"a","!","{The_door}",1,2233,-0.5,0.5,2233
"1346","Native 8","gap",6,"a","!","{The_race}",1,1800,-0.5,0.5,1800
"1378","Native 8","gap",10,"a","!","{The_car}",1,4595,-0.5,0.5,4595
"1416","Native 8","gap",2,"a","!","{The_truck}",1,3615,-0.5,0.5,3615
"1420","Native 8","gap",1,"b","!","{The_bicycle}",1,2009,-0.5,-0.5,2009
"1431","Native 8","gap",3,"b","!","{The_ship}",0,4346,-0.5,-0.5,4346
"1473","Native 9","gap",4,"b","!","{The_door}",1,1185,-0.5,-0.5,1185
"1479","Native 9","gap",3,"a","!","{The_island}",1,1377,-0.5,0.5,1377
"1492","Native 9","gap",2,"b","!","{The_truck}",1,1331,-0.5,-0.5,1331
"1506","Native 9","gap",10,"b","!","{The_car}",1,1775,-0.5,-0.5,1775
"1523","Native 9","gap",5,"a","!","{The_taxi}",0,1433,-0.5,0.5,1433
"1526","Native 9","gap",1,"a","!","{The_bicycle}",1,1253,-0.5,0.5,1253
"1547","Native 9","gap",8,"b","!","{The_bridge}",0,1652,-0.5,-0.5,1652
"1575","Native 9","gap",11,"a","!","{The_table}",1,1328,-0.5,0.5,1328
"1578","Native 9","gap",9,"a","!","{The_table}",1,1816,-0.5,0.5,1816
"1586","Native 9","gap",6,"b","!","{The_race}",1,1972,-0.5,-0.5,1972
"1601","Native 9","gap",12,"b","!","{The_bread}",1,1305,-0.5,-0.5,1305
"1619","Native 9","gap",7,"a","!","{The_sky}",1,1428,-0.5,0.5,1428
"1641","Native 10","gap",12,"a","!","{The_cake}",0,1833,-0.5,0.5,1833
"1652","Native 10","gap",8,"a","!","{The_bridge}",0,1915,-0.5,0.5,1915
"1659","Native 10","gap",5,"b","!","{The_taxi}",0,1966,-0.5,-0.5,1966
"1667","Native 10","gap",11,"b","!","{The_room}",0,4053,-0.5,-0.5,4053
"1673","Native 10","gap",9,"b","!","{The_chair}",0,3013,-0.5,-0.5,3013
"1679","Native 10","gap",3,"b","!","{The_ship}",0,3292,-0.5,-0.5,3292
"1692","Native 10","gap",2,"a","!","{The_wall}",0,3804,-0.5,0.5,3804
"1702","Native 10","gap",6,"a","!","{The_movie}",0,1203,-0.5,0.5,1203
"1714","Native 10","gap",4,"a","!","{The_window}",0,1615,-0.5,0.5,1615
"1722","Native 10","gap",1,"b","!","{The_car}",0,2340,-0.5,-0.5,2340
"1738","Native 10","gap",10,"a","!","{The_tool}",0,1813,-0.5,0.5,1813
"1774","Native 10","gap",7,"b","!","{The_tower}",0,1957,-0.5,-0.5,1957
"1825","Native 11","gap",8,"b","!","{The_church}",1,1524,-0.5,-0.5,1524
"1831","Native 11","gap",12,"b","!","{The_bread}",1,3301,-0.5,-0.5,3301
"1834","Native 11","gap",1,"a","!","{The_car}",0,3306,-0.5,0.5,3306
"1853","Native 11","gap",3,"a","!","{The_ship}",0,2910,-0.5,0.5,2910
"1889","Native 11","gap",2,"b","!","{The_wall}",0,2741,-0.5,-0.5,2741
"1908","Native 11","gap",11,"a","!","{The_table}",1,2463,-0.5,0.5,2463
"1930","Native 11","gap",4,"b","!","{The_window}",0,2148,-0.5,-0.5,2148
"1940","Native 11","gap",10,"b","!","{The_car}",1,2274,-0.5,-0.5,2274
"1943","Native 11","gap",5,"a","!","{The_car}",1,3156,-0.5,0.5,3156
"1960","Native 11","gap",7,"a","!","{The_sky}",1,2638,-0.5,0.5,2638
"1964","Native 11","gap",6,"b","!","{The_race}",1,3524,-0.5,-0.5,3524
"1974","Native 11","gap",9,"a","!","{The_chair}",0,5024,-0.5,0.5,5024
"2008","Native 12","gap",6,"a","!","{The_race}",1,2126,-0.5,0.5,2126
"2014","Native 12","gap",3,"b","!","{The_ship}",0,2100,-0.5,-0.5,2100
"2023","Native 12","gap",7,"b","!","{The_tower}",0,2181,-0.5,-0.5,2181
"2030","Native 12","gap",2,"a","!","{The_wall}",0,4774,-0.5,0.5,4774
"2050","Native 12","gap",12,"a","!","{The_cake}",0,4647,-0.5,0.5,4647
"2065","Native 12","gap",5,"b","!","{The_taxi}",0,5001,-0.5,-0.5,5001
"2084","Native 12","gap",10,"a","!","{The_tool}",0,3241,-0.5,0.5,3241
"2098","Native 12","gap",11,"b","!","{The_room}",0,2081,-0.5,-0.5,2081
"2102","Native 12","gap",1,"b","!","{The_bicycle}",1,1740,-0.5,-0.5,1740
"2108","Native 12","gap",9,"b","!","{The_chair}",0,2412,-0.5,-0.5,2412
"2142","Native 12","gap",8,"a","!","{The_bridge}",0,1633,-0.5,0.5,1633
"2156","Native 12","gap",4,"a","!","{The_window}",0,1484,-0.5,0.5,1484
"2202","Native 13","gap",12,"b","!","{The_bread}",1,2337,-0.5,-0.5,2337
