"","subject","type","item","condition","question","correct_answer","response","rt","group","ambiguity","trimmed_rt"
"26","Native 1","gap",22,"b","!","{Yes}",0,3000,-0.5,-0.5,3000
"43","Native 1","gap",16,"b","!","{No}",1,2705,-0.5,-0.5,2705
"47","Native 1","gap",21,"a","!","{Yes}",0,1914,-0.5,0.5,1914
"51","Native 1","gap",19,"a","!","{Yes}",0,2490,-0.5,0.5,2490
"71","Native 1","gap",13,"a","!","{Yes}",0,2284,-0.5,0.5,2284
"82","Native 1","gap",14,"b","!","{Yes}",0,1526,-0.5,-0.5,1526
"96","Native 1","gap",20,"b","!","{No}",1,1910,-0.5,-0.5,1910
"119","Native 1","gap",24,"b","!","{No}",1,3237,-0.5,-0.5,3237
"123","Native 1","gap",23,"a","!","{Yes}",0,2275,-0.5,0.5,2275
"162","Native 1","gap",18,"b","!","{No}",1,2996,-0.5,-0.5,2996
"165","Native 1","gap",17,"a","!","{No}",1,3227,-0.5,0.5,3227
"179","Native 1","gap",15,"a","!","{No}",1,1968,-0.5,0.5,1968
"205","Native 2","gap",14,"a","!","{Yes}",0,2003,-0.5,0.5,2003
"213","Native 2","gap",20,"a","!","{No}",1,2414,-0.5,0.5,2414
"237","Native 2","gap",23,"b","!","{Yes}",0,3213,-0.5,-0.5,3213
"279","Native 2","gap",18,"a","!","{Yes}",0,1017,-0.5,0.5,1017
"283","Native 2","gap",17,"b","!","{Yes}",0,2780,-0.5,-0.5,2780
"300","Native 2","gap",21,"b","!","{Yes}",0,1187,-0.5,-0.5,1187
"304","Native 2","gap",15,"b","!","{Yes}",0,1954,-0.5,-0.5,1954
"310","Native 2","gap",19,"b","!","{No}",1,1110,-0.5,-0.5,1110
"318","Native 2","gap",13,"b","!","{Yes}",0,931,-0.5,-0.5,931
"327","Native 2","gap",24,"a","!","{No}",1,936,-0.5,0.5,936
"334","Native 2","gap",22,"a","!","{No}",1,2509,-0.5,0.5,2509
"338","Native 2","gap",16,"a","!","{Yes}",0,1518,-0.5,0.5,1518
"385","Native 3","gap",13,"a","!","{Yes}",0,2733,-0.5,0.5,2733
"391","Native 3","gap",14,"b","!","{Yes}",0,2678,-0.5,-0.5,2678
"416","Native 3","gap",23,"a","!","{Yes}",0,6209,-0.5,0.5,6209
"423","Native 3","gap",24,"b","!","{No}",1,2442,-0.5,-0.5,2442
"444","Native 3","gap",16,"b","!","{No}",1,4303,-0.5,-0.5,4303
"459","Native 3","gap",20,"b","!","{Yes}",0,2795,-0.5,-0.5,2795
"467","Native 3","gap",15,"a","!","{Yes}",0,3680,-0.5,0.5,3680
"485","Native 3","gap",19,"a","!","{Yes}",0,2211,-0.5,0.5,2211
"493","Native 3","gap",22,"b","!","{No}",1,1633,-0.5,-0.5,1633
"496","Native 3","gap",17,"a","!","{No}",1,1418,-0.5,0.5,1418
"512","Native 3","gap",21,"a","!","{Yes}",0,14076,-0.5,0.5,14076
"522","Native 3","gap",18,"b","!","{Yes}",0,3490,-0.5,-0.5,3490
"555","Native 4","gap",17,"b","!","{Yes}",0,1437,-0.5,-0.5,1437
"566","Native 4","gap",20,"a","!","{No}",1,2275,-0.5,0.5,2275
"569","Native 4","gap",24,"a","!","{Yes}",0,1499,-0.5,0.5,1499
"582","Native 4","gap",19,"b","!","{Yes}",0,1145,-0.5,-0.5,1145
"610","Native 4","gap",13,"b","!","{Yes}",0,1423,-0.5,-0.5,1423
"648","Native 4","gap",22,"a","!","{Yes}",0,1518,-0.5,0.5,1518
"659","Native 4","gap",14,"a","!","{Yes}",0,1213,-0.5,0.5,1213
"666","Native 4","gap",15,"b","!","{No}",1,2305,-0.5,-0.5,2305
"677","Native 4","gap",18,"a","!","{Yes}",0,1635,-0.5,0.5,1635
"681","Native 4","gap",16,"a","!","{Yes}",0,1869,-0.5,0.5,1869
"704","Native 4","gap",23,"b","!","{Yes}",0,1052,-0.5,-0.5,1052
"718","Native 4","gap",21,"b","!","{Yes}",0,1157,-0.5,-0.5,1157
"740","Native 5","gap",24,"b","!","{Yes}",0,2421,-0.5,-0.5,2421
"743","Native 5","gap",15,"a","!","{Yes}",0,1540,-0.5,0.5,1540
"753","Native 5","gap",17,"a","!","{Yes}",0,2373,-0.5,0.5,2373
"804","Native 5","gap",23,"a","!","{Yes}",0,2801,-0.5,0.5,2801
"812","Native 5","gap",22,"b","!","{Yes}",0,2199,-0.5,-0.5,2199
"831","Native 5","gap",21,"a","!","{Yes}",0,1830,-0.5,0.5,1830
"839","Native 5","gap",14,"b","!","{Yes}",0,1296,-0.5,-0.5,1296
"849","Native 5","gap",16,"b","!","{Yes}",0,1661,-0.5,-0.5,1661
"860","Native 5","gap",18,"b","!","{No}",1,1527,-0.5,-0.5,1527
"867","Native 5","gap",20,"b","!","{Yes}",0,3016,-0.5,-0.5,3016
"870","Native 5","gap",19,"a","!","{Yes}",0,1838,-0.5,0.5,1838
"881","Native 5","gap",13,"a","!","{Yes}",0,1664,-0.5,0.5,1664
"923","Native 6","gap",24,"a","!","{No}",1,1230,-0.5,0.5,1230
"929","Native 6","gap",15,"b","!","{Yes}",0,2846,-0.5,-0.5,2846
"938","Native 6","gap",13,"b","!","{Yes}",0,1794,-0.5,-0.5,1794
"966","Native 6","gap",14,"a","!","{Yes}",0,7162,-0.5,0.5,7162
"981","Native 6","gap",18,"a","!","{Yes}",0,1361,-0.5,0.5,1361
"988","Native 6","gap",17,"b","!","{Yes}",0,1259,-0.5,-0.5,1259
"995","Native 6","gap",19,"b","!","{Yes}",0,2283,-0.5,-0.5,2283
"1013","Native 6","gap",21,"b","!","{Yes}",0,1322,-0.5,-0.5,1322
"1039","Native 6","gap",16,"a","!","{Yes}",0,3171,-0.5,0.5,3171
"1057","Native 6","gap",22,"a","!","{No}",1,2774,-0.5,0.5,2774
"1064","Native 6","gap",20,"a","!","{No}",1,1704,-0.5,0.5,1704
"1072","Native 6","gap",23,"b","!","{Yes}",0,3795,-0.5,-0.5,3795
"1122","Native 7","gap",21,"a","!","{Yes}",0,3388,-0.5,0.5,3388
"1129","Native 7","gap",16,"b","!","{No}",1,6886,-0.5,-0.5,6886
"1135","Native 7","gap",17,"a","!","{Yes}",0,2362,-0.5,0.5,2362
"1153","Native 7","gap",13,"a","!","{Yes}",0,1579,-0.5,0.5,1579
"1161","Native 7","gap",20,"b","!","{No}",1,1639,-0.5,-0.5,1639
"1168","Native 7","gap",14,"b","!","{Yes}",0,1477,-0.5,-0.5,1477
"1194","Native 7","gap",22,"b","!","{No}",1,2243,-0.5,-0.5,2243
"1198","Native 7","gap",24,"b","!","{No}",1,2552,-0.5,-0.5,2552
"1210","Native 7","gap",23,"a","!","{Yes}",0,2854,-0.5,0.5,2854
"1227","Native 7","gap",15,"a","!","{No}",1,2865,-0.5,0.5,2865
"1235","Native 7","gap",18,"b","!","{No}",1,2089,-0.5,-0.5,2089
"1256","Native 7","gap",19,"a","!","{No}",1,4296,-0.5,0.5,4296
"1288","Native 8","gap",22,"a","!","{Yes}",0,2289,-0.5,0.5,2289
"1326","Native 8","gap",14,"a","!","{Yes}",0,1449,-0.5,0.5,1449
"1330","Native 8","gap",13,"b","!","{Yes}",0,1958,-0.5,-0.5,1958
"1339","Native 8","gap",15,"b","!","{No}",1,4640,-0.5,-0.5,4640
"1360","Native 8","gap",17,"b","!","{No}",1,3170,-0.5,-0.5,3170
"1367","Native 8","gap",19,"b","!","{Yes}",0,2547,-0.5,-0.5,2547
"1374","Native 8","gap",21,"b","!","{Yes}",0,2742,-0.5,-0.5,2742
"1386","Native 8","gap",23,"b","!","{Yes}",0,5719,-0.5,-0.5,5719
"1395","Native 8","gap",20,"a","!","{No}",1,4066,-0.5,0.5,4066
"1399","Native 8","gap",16,"a","!","{Yes}",0,1675,-0.5,0.5,1675
"1406","Native 8","gap",24,"a","!","{No}",1,1534,-0.5,0.5,1534
"1427","Native 8","gap",18,"a","!","{Yes}",0,3483,-0.5,0.5,3483
"1464","Native 9","gap",20,"b","!","{Yes}",0,1601,-0.5,-0.5,1601
"1486","Native 9","gap",16,"b","!","{No}",1,1481,-0.5,-0.5,1481
"1495","Native 9","gap",15,"a","!","{Yes}",0,1144,-0.5,0.5,1144
"1503","Native 9","gap",19,"a","!","{Yes}",0,1189,-0.5,0.5,1189
"1513","Native 9","gap",13,"a","!","{Yes}",0,1045,-0.5,0.5,1045
"1536","Native 9","gap",14,"b","!","{No}",1,1488,-0.5,-0.5,1488
"1544","Native 9","gap",17,"a","!","{Yes}",0,1214,-0.5,0.5,1214
"1555","Native 9","gap",22,"b","!","{No}",1,2462,-0.5,-0.5,2462
"1558","Native 9","gap",24,"b","!","{No}",1,1380,-0.5,-0.5,1380
"1565","Native 9","gap",23,"a","!","{No}",1,1118,-0.5,0.5,1118
"1582","Native 9","gap",21,"a","!","{No}",1,1237,-0.5,0.5,1237
"1594","Native 9","gap",18,"b","!","{No}",1,1721,-0.5,-0.5,1721
"1676","Native 10","gap",18,"a","!","{Yes}",0,2703,-0.5,0.5,2703
