"","subject","type","item","condition","question","correct_answer","response","rt","group","ambiguity","trimmed_rt"
"25","Native 1","gap",22,"b","0","-","-",4214,-0.5,-0.5,4214
"42","Native 1","gap",16,"b","0","-","-",6048,-0.5,-0.5,6048
"46","Native 1","gap",21,"a","0","-","-",5540,-0.5,0.5,5540
"50","Native 1","gap",19,"a","0","-","-",6460,-0.5,0.5,6460
"70","Native 1","gap",13,"a","0","-","-",3508,-0.5,0.5,3508
"81","Native 1","gap",14,"b","0","-","-",6009,-0.5,-0.5,6009
"95","Native 1","gap",20,"b","0","-","-",3477,-0.5,-0.5,3477
"118","Native 1","gap",24,"b","0","-","-",6898,-0.5,-0.5,6898
"122","Native 1","gap",23,"a","0","-","-",5104,-0.5,0.5,5104
"161","Native 1","gap",18,"b","0","-","-",3523,-0.5,-0.5,3523
"164","Native 1","gap",17,"a","0","-","-",3781,-0.5,0.5,3781
"178","Native 1","gap",15,"a","0","-","-",8324,-0.5,0.5,8324
"204","Native 2","gap",14,"a","0","-","-",6067,-0.5,0.5,6067
"212","Native 2","gap",20,"a","0","-","-",5290,-0.5,0.5,5290
"236","Native 2","gap",23,"b","0","-","-",5479,-0.5,-0.5,5479
"278","Native 2","gap",18,"a","0","-","-",8060,-0.5,0.5,8060
"282","Native 2","gap",17,"b","0","-","-",5185,-0.5,-0.5,5185
"299","Native 2","gap",21,"b","0","-","-",6021,-0.5,-0.5,6021
"303","Native 2","gap",15,"b","0","-","-",7937,-0.5,-0.5,7937
"309","Native 2","gap",19,"b","0","-","-",7550,-0.5,-0.5,7550
"317","Native 2","gap",13,"b","0","-","-",6376,-0.5,-0.5,6376
"326","Native 2","gap",24,"a","0","-","-",7317,-0.5,0.5,7317
"333","Native 2","gap",22,"a","0","-","-",3981,-0.5,0.5,3981
"337","Native 2","gap",16,"a","0","-","-",9422,-0.5,0.5,9422
"384","Native 3","gap",13,"a","0","-","-",9013,-0.5,0.5,9013
"390","Native 3","gap",14,"b","0","-","-",15867,-0.5,-0.5,15867
"415","Native 3","gap",23,"a","0","-","-",10369,-0.5,0.5,10369
"422","Native 3","gap",24,"b","0","-","-",15573,-0.5,-0.5,15573
"443","Native 3","gap",16,"b","0","-","-",16467,-0.5,-0.5,16467
"458","Native 3","gap",20,"b","0","-","-",23373,-0.5,-0.5,23373
"466","Native 3","gap",15,"a","0","-","-",10180,-0.5,0.5,10180
"484","Native 3","gap",19,"a","0","-","-",14636,-0.5,0.5,14636
"492","Native 3","gap",22,"b","0","-","-",5813,-0.5,-0.5,5813
"495","Native 3","gap",17,"a","0","-","-",11303,-0.5,0.5,11303
"511","Native 3","gap",21,"a","0","-","-",15722,-0.5,0.5,15722
"521","Native 3","gap",18,"b","0","-","-",16228,-0.5,-0.5,16228
"554","Native 4","gap",17,"b","0","-","-",4223,-0.5,-0.5,4223
"565","Native 4","gap",20,"a","0","-","-",3551,-0.5,0.5,3551
"568","Native 4","gap",24,"a","0","-","-",3076,-0.5,0.5,3076
"581","Native 4","gap",19,"b","0","-","-",5568,-0.5,-0.5,5568
"609","Native 4","gap",13,"b","0","-","-",6049,-0.5,-0.5,6049
"647","Native 4","gap",22,"a","0","-","-",3622,-0.5,0.5,3622
"658","Native 4","gap",14,"a","0","-","-",4210,-0.5,0.5,4210
"665","Native 4","gap",15,"b","0","-","-",3251,-0.5,-0.5,3251
"676","Native 4","gap",18,"a","0","-","-",3267,-0.5,0.5,3267
"680","Native 4","gap",16,"a","0","-","-",3481,-0.5,0.5,3481
"703","Native 4","gap",23,"b","0","-","-",4744,-0.5,-0.5,4744
"717","Native 4","gap",21,"b","0","-","-",2681,-0.5,-0.5,2681
"739","Native 5","gap",24,"b","0","-","-",3401,-0.5,-0.5,3401
"742","Native 5","gap",15,"a","0","-","-",5517,-0.5,0.5,5517
"752","Native 5","gap",17,"a","0","-","-",4206,-0.5,0.5,4206
"803","Native 5","gap",23,"a","0","-","-",2629,-0.5,0.5,2629
"811","Native 5","gap",22,"b","0","-","-",2897,-0.5,-0.5,2897
"830","Native 5","gap",21,"a","0","-","-",5716,-0.5,0.5,5716
"838","Native 5","gap",14,"b","0","-","-",2701,-0.5,-0.5,2701
"848","Native 5","gap",16,"b","0","-","-",4374,-0.5,-0.5,4374
"859","Native 5","gap",18,"b","0","-","-",3941,-0.5,-0.5,3941
"866","Native 5","gap",20,"b","0","-","-",3906,-0.5,-0.5,3906
"869","Native 5","gap",19,"a","0","-","-",4102,-0.5,0.5,4102
"880","Native 5","gap",13,"a","0","-","-",3838,-0.5,0.5,3838
"922","Native 6","gap",24,"a","0","-","-",5255,-0.5,0.5,5255
"928","Native 6","gap",15,"b","0","-","-",9351,-0.5,-0.5,9351
"937","Native 6","gap",13,"b","0","-","-",3451,-0.5,-0.5,3451
"965","Native 6","gap",14,"a","0","-","-",3221,-0.5,0.5,3221
"980","Native 6","gap",18,"a","0","-","-",3772,-0.5,0.5,3772
"987","Native 6","gap",17,"b","0","-","-",7046,-0.5,-0.5,7046
"994","Native 6","gap",19,"b","0","-","-",3404,-0.5,-0.5,3404
"1012","Native 6","gap",21,"b","0","-","-",2885,-0.5,-0.5,2885
"1038","Native 6","gap",16,"a","0","-","-",3818,-0.5,0.5,3818
"1056","Native 6","gap",22,"a","0","-","-",4795,-0.5,0.5,4795
"1063","Native 6","gap",20,"a","0","-","-",3597,-0.5,0.5,3597
"1071","Native 6","gap",23,"b","0","-","-",5030,-0.5,-0.5,5030
"1121","Native 7","gap",21,"a","0","-","-",5292,-0.5,0.5,5292
"1128","Native 7","gap",16,"b","0","-","-",6938,-0.5,-0.5,6938
"1134","Native 7","gap",17,"a","0","-","-",6044,-0.5,0.5,6044
"1152","Native 7","gap",13,"a","0","-","-",6189,-0.5,0.5,6189
"1160","Native 7","gap",20,"b","0","-","-",3903,-0.5,-0.5,3903
"1167","Native 7","gap",14,"b","0","-","-",8681,-0.5,-0.5,8681
"1193","Native 7","gap",22,"b","0","-","-",4297,-0.5,-0.5,4297
"1197","Native 7","gap",24,"b","0","-","-",8082,-0.5,-0.5,8082
"1209","Native 7","gap",23,"a","0","-","-",3809,-0.5,0.5,3809
"1226","Native 7","gap",15,"a","0","-","-",4843,-0.5,0.5,4843
"1234","Native 7","gap",18,"b","0","-","-",6428,-0.5,-0.5,6428
"1255","Native 7","gap",19,"a","0","-","-",3998,-0.5,0.5,3998
"1287","Native 8","gap",22,"a","0","-","-",5343,-0.5,0.5,5343
"1325","Native 8","gap",14,"a","0","-","-",7300,-0.5,0.5,7300
"1329","Native 8","gap",13,"b","0","-","-",11160,-0.5,-0.5,11160
"1338","Native 8","gap",15,"b","0","-","-",7854,-0.5,-0.5,7854
"1359","Native 8","gap",17,"b","0","-","-",7591,-0.5,-0.5,7591
"1366","Native 8","gap",19,"b","0","-","-",7387,-0.5,-0.5,7387
"1373","Native 8","gap",21,"b","0","-","-",8691,-0.5,-0.5,8691
"1385","Native 8","gap",23,"b","0","-","-",7157,-0.5,-0.5,7157
"1394","Native 8","gap",20,"a","0","-","-",3896,-0.5,0.5,3896
"1398","Native 8","gap",16,"a","0","-","-",10186,-0.5,0.5,10186
"1405","Native 8","gap",24,"a","0","-","-",8370,-0.5,0.5,8370
"1426","Native 8","gap",18,"a","0","-","-",6585,-0.5,0.5,6585
"1463","Native 9","gap",20,"b","0","-","-",2400,-0.5,-0.5,2400
"1485","Native 9","gap",16,"b","0","-","-",3387,-0.5,-0.5,3387
"1494","Native 9","gap",15,"a","0","-","-",2959,-0.5,0.5,2959
"1502","Native 9","gap",19,"a","0","-","-",2295,-0.5,0.5,2295
"1512","Native 9","gap",13,"a","0","-","-",3114,-0.5,0.5,3114
"1535","Native 9","gap",14,"b","0","-","-",2579,-0.5,-0.5,2579
"1543","Native 9","gap",17,"a","0","-","-",2133,-0.5,0.5,2133
