"","subject","type","item","condition","question","correct_answer","response","rt","group","ambiguity","trimmed_rt"
"15","L1 1","gp",14,"b","0","-","-",3384,-0.5,-0.5,3384
"22","L1 1","gp",3,"c","0","-","-",4156,-0.5,0.5,4156
"28","L1 1","gp",4,"d","0","-","-",3489,-0.5,-0.5,3489
"32","L1 1","gp",7,"c","0","-","-",5264,-0.5,0.5,5264
"61","L1 1","gp",9,"a","0","-","-",5412,-0.5,0.5,5412
"67","L1 1","gp",6,"b","0","-","-",3704,-0.5,-0.5,3704
"74","L1 1","gp",5,"a","0","-","-",6646,-0.5,0.5,6646
"88","L1 1","gp",20,"d","0","-","-",6440,-0.5,-0.5,6440
"91","L1 1","gp",19,"c","0","-","-",3546,-0.5,0.5,3546
"99","L1 1","gp",17,"a","0","-","-",4075,-0.5,0.5,4075
"105","L1 1","gp",2,"b","0","-","-",3114,-0.5,-0.5,3114
"111","L1 1","gp",12,"d","0","-","-",4900,-0.5,-0.5,4900
"115","L1 1","gp",18,"b","0","-","-",4411,-0.5,-0.5,4411
"125","L1 1","gp",1,"a","0","-","-",3168,-0.5,0.5,3168
"129","L1 1","gp",10,"b","0","-","-",4849,-0.5,-0.5,4849
"132","L1 1","gp",11,"c","0","-","-",3770,-0.5,0.5,3770
"135","L1 1","gp",13,"a","0","-","-",7652,-0.5,0.5,7652
"139","L1 1","gp",24,"d","0","-","-",5284,-0.5,-0.5,5284
"143","L1 1","gp",16,"d","0","-","-",7749,-0.5,-0.5,7749
"146","L1 1","gp",21,"a","0","-","-",7780,-0.5,0.5,7780
"150","L1 1","gp",22,"b","0","-","-",5617,-0.5,-0.5,5617
"158","L1 1","gp",15,"c","0","-","-",9105,-0.5,0.5,9105
"170","L1 1","gp",23,"c","0","-","-",4358,-0.5,0.5,4358
"174","L1 1","gp",8,"d","0","-","-",3081,-0.5,-0.5,3081
"194","L1 2","gp",16,"a","0","-","-",7234,-0.5,0.5,7234
"201","L1 2","gp",17,"b","0","-","-",4808,-0.5,-0.5,4808
"208","L1 2","gp",4,"a","0","-","-",7346,-0.5,0.5,7346
"216","L1 2","gp",15,"d","0","-","-",3568,-0.5,-0.5,3568
"222","L1 2","gp",2,"c","0","-","-",4187,-0.5,0.5,4187
"229","L1 2","gp",10,"c","0","-","-",5184,-0.5,0.5,5184
"240","L1 2","gp",6,"c","0","-","-",9151,-0.5,0.5,9151
"246","L1 2","gp",19,"d","0","-","-",7389,-0.5,-0.5,7389
"260","L1 2","gp",20,"a","0","-","-",5120,-0.5,0.5,5120
"264","L1 2","gp",14,"c","0","-","-",15480,-0.5,0.5,NA
"268","L1 2","gp",8,"a","0","-","-",6755,-0.5,0.5,6755
"274","L1 2","gp",1,"b","0","-","-",2699,-0.5,-0.5,2699
"285","L1 2","gp",12,"a","0","-","-",3499,-0.5,0.5,3499
"288","L1 2","gp",24,"a","0","-","-",4612,-0.5,0.5,4612
"292","L1 2","gp",3,"d","0","-","-",4289,-0.5,-0.5,4289
"296","L1 2","gp",23,"d","0","-","-",4385,-0.5,-0.5,4385
"306","L1 2","gp",9,"b","0","-","-",2218,-0.5,-0.5,2218
"313","L1 2","gp",5,"b","0","-","-",5668,-0.5,-0.5,5668
"323","L1 2","gp",11,"d","0","-","-",2194,-0.5,-0.5,2194
"341","L1 2","gp",21,"b","0","-","-",2691,-0.5,-0.5,2691
"344","L1 2","gp",18,"c","0","-","-",4779,-0.5,0.5,4779
"347","L1 2","gp",22,"c","0","-","-",6143,-0.5,0.5,6143
"351","L1 2","gp",13,"b","0","-","-",4196,-0.5,-0.5,4196
"358","L1 2","gp",7,"d","0","-","-",5453,-0.5,-0.5,5453
"378","L1 3","gp",4,"b","0","-","-",7373,-0.5,-0.5,7373
"381","L1 3","gp",20,"b","0","-","-",5470,-0.5,-0.5,5470
"393","L1 3","gp",12,"b","0","-","-",7412,-0.5,-0.5,7412
"400","L1 3","gp",18,"d","0","-","-",5686,-0.5,-0.5,5686
"404","L1 3","gp",22,"d","0","-","-",9656,-0.5,-0.5,9656
"408","L1 3","gp",9,"c","0","-","-",12911,-0.5,0.5,12911
"411","L1 3","gp",6,"d","0","-","-",5195,-0.5,-0.5,5195
"426","L1 3","gp",13,"c","0","-","-",19741,-0.5,0.5,19741
"429","L1 3","gp",24,"b","0","-","-",4475,-0.5,-0.5,4475
"435","L1 3","gp",15,"a","0","-","-",11292,-0.5,0.5,11292
"447","L1 3","gp",23,"a","0","-","-",10354,-0.5,0.5,10354
"455","L1 3","gp",1,"c","0","-","-",11076,-0.5,0.5,11076
"470","L1 3","gp",14,"d","0","-","-",7494,-0.5,-0.5,7494
"477","L1 3","gp",7,"a","0","-","-",10055,-0.5,0.5,10055
"481","L1 3","gp",16,"b","0","-","-",5230,-0.5,-0.5,5230
"498","L1 3","gp",11,"a","0","-","-",11376,-0.5,0.5,11376
"501","L1 3","gp",21,"c","0","-","-",6568,-0.5,0.5,6568
"507","L1 3","gp",19,"a","0","-","-",14297,-0.5,0.5,14297
"518","L1 3","gp",5,"c","0","-","-",8437,-0.5,0.5,8437
"524","L1 3","gp",3,"a","0","-","-",9621,-0.5,0.5,9621
"528","L1 3","gp",10,"d","0","-","-",14435,-0.5,-0.5,14435
"531","L1 3","gp",17,"c","0","-","-",12319,-0.5,0.5,12319
"534","L1 3","gp",8,"b","0","-","-",4599,-0.5,-0.5,4599
"537","L1 3","gp",2,"d","0","-","-",3891,-0.5,-0.5,3891
"558","L1 4","gp",11,"b","0","-","-",2231,-0.5,-0.5,2231
"561","L1 4","gp",12,"c","0","-","-",3115,-0.5,0.5,3115
"570","L1 4","gp",21,"d","0","-","-",3842,-0.5,-0.5,3842
"573","L1 4","gp",24,"c","0","-","-",4754,-0.5,0.5,4754
"577","L1 4","gp",17,"d","0","-","-",2057,-0.5,-0.5,2057
"584","L1 4","gp",6,"a","0","-","-",2830,-0.5,0.5,2830
"594","L1 4","gp",4,"c","0","-","-",2963,-0.5,0.5,2963
"598","L1 4","gp",16,"c","0","-","-",3635,-0.5,0.5,3635
"602","L1 4","gp",2,"a","0","-","-",3400,-0.5,0.5,3400
"606","L1 4","gp",15,"b","0","-","-",3273,-0.5,-0.5,3273
"613","L1 4","gp",8,"c","0","-","-",3875,-0.5,0.5,3875
"627","L1 4","gp",14,"a","0","-","-",2550,-0.5,0.5,2550
"631","L1 4","gp",23,"b","0","-","-",2666,-0.5,-0.5,2666
"637","L1 4","gp",13,"d","0","-","-",6078,-0.5,-0.5,6078
"644","L1 4","gp",22,"a","0","-","-",3316,-0.5,0.5,3316
"651","L1 4","gp",7,"b","0","-","-",2191,-0.5,-0.5,2191
"655","L1 4","gp",1,"d","0","-","-",2340,-0.5,-0.5,2340
"662","L1 4","gp",20,"c","0","-","-",2317,-0.5,0.5,2317
"669","L1 4","gp",3,"b","0","-","-",2338,-0.5,-0.5,2338
"672","L1 4","gp",9,"d","0","-","-",4530,-0.5,-0.5,4530
"687","L1 4","gp",10,"a","0","-","-",2998,-0.5,0.5,2998
"693","L1 4","gp",18,"a","0","-","-",1874,-0.5,0.5,1874
"700","L1 4","gp",5,"d","0","-","-",4477,-0.5,-0.5,4477
"707","L1 4","gp",19,"b","0","-","-",2379,-0.5,-0.5,2379
"737","L1 5","gp",19,"c","0","-","-",3241,-0.5,0.5,3241
"746","L1 5","gp",4,"d","0","-","-",4760,-0.5,-0.5,4760
"749","L1 5","gp",7,"c","0","-","-",4277,-0.5,0.5,4277
"756","L1 5","gp",16,"d","0","-","-",3505,-0.5,-0.5,3505
"764","L1 5","gp",1,"a","0","-","-",2999,-0.5,0.5,2999
"770","L1 5","gp",2,"b","0","-","-",4890,-0.5,-0.5,4890
